n,Yaw,Pitch,Roll,Lift,Drag,Side
160,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
161,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
162,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
163,71.91785999999999,5.2356,-0.09438,-9.55416,13.17856,-3.612
164,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
165,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
166,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
167,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
168,71.91785999999999,5.2356,-0.09438,-9.55416,13.195999999999998,-3.612
169,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
170,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
171,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
172,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
173,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
174,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
175,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
176,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
177,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
178,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
179,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
180,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
181,71.91785999999999,5.2356,-0.09438,-9.15607,12.63672,-3.612
182,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
183,71.91785999999999,5.2356,-0.09438,-9.15607,12.63672,-3.612
184,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
185,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
186,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
187,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
188,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
189,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
190,71.91785999999999,5.2356,-0.09438,-9.15607,12.654160000000001,-3.612
191,71.91785999999999,5.2356,-0.04719,-9.15607,12.63672,-3.612
192,71.91785999999999,5.2356,-0.04719,-9.15607,12.654160000000001,-3.612
